,Name,Latitude,Longitude
0,Centro,-22.800528668894238,-43.36616711149319
1,Vila Rosali,-22.792166470228103,-43.376010209267235
2,Jardim Paraíso,-22.76290258821187,-43.34604884752305
3,Agostinho Porto,-22.78805438321712,-43.382848296524756
4,Jardim Meriti,-22.787034198733537,-43.368213703172614
5,Vila Tiradentes,-22.79637719054853,-43.3846749900742
6,São Mateus,-22.808830542135798,-43.38661140785393
7,Engenheiro Belford,-22.805707833014726,-43.377872198841274
8,Éden,-22.791157387473813,-43.39759399327331
9,Tomazinho,-22.80345110933239,-43.39123522889558
10,Coelho da Rocha,-22.776453133013725,-43.38503735480283
11,Jardim Metrópole,-22.764228537197766,-43.33618371969664
12,Parque Araruama,-22.79382847120675,-43.337285501974954
13,Venda Velha,-22.790387977050763,-43.35041721584011
14,Jardim Sumaré,-22.7786390593606,-43.3375968607592
15,Vilar dos Teles,-22.772499999317986,-43.361240085032975
